PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Biblical Studies - Graduate Certificate,Master of Arts in Theological Studies (M.A.) (0.86); Master of Arts in Biblical Exposition (M.A.) (0.82); Master of Arts in Christian Ministry (M.A.) (0.82); Master of Arts in Educational Ministries (M.A.) (0.81); Master of Arts in Church Planting (M.A.) (0.80)
Biblical Studies Major (A.A.),Biblical Studies Major (B.A.) (0.97); Religious Studies: Bible & Theology Major (B.A.) (0.91); Religion Major (B.S.) (0.91); Religious Studies: Bible & Theology Major (B.S.) (0.89); Religious Studies Major (B.S.) (0.87)
Biblical Studies Major (B.A.),Biblical Studies Major (A.A.) (0.97); Religious Studies: Bible & Theology Major (B.A.) (0.95); Religious Studies: Bible & Theology Major (B.S.) (0.94); Religious Studies Major (B.S.) (0.92); Religion Major (B.S.) (0.91)
Biochemistry & Molecular Biology Major (B.S.),Biotechnology Major (B.S.) (0.99); General Biology Major (B.S.) (0.99); Biopsychology Major (B.S.) (0.97); Zoology Major (B.S.) (0.97); Forensic Science Major (B.S.) (0.97)
Biology Education 6-12 Major (B.Ed.),Elementary Education Major (B.Ed.) (0.94); Bachelor of Education in Special Education - General Curriculum K-12 (0.94); Middle Education Major (B.Ed.) (0.93); Chemistry Education 6-12 Major (B.Ed.) (0.93); Biomedical Sciences Major (B.S.) (0.92)
Biomedical Sciences Major (B.S.),Biotechnology Major (B.S.) (0.98); Zoology Major (B.S.) (0.97); Conservation & Environmental Biology Major (B.S.) (0.97); Biochemistry & Molecular Biology Major (B.S.) (0.96); Biopsychology Major (B.S.) (0.96)
Biopsychology Major (B.S.),General Biology Major (B.S.) (0.98); Biochemistry & Molecular Biology Major (B.S.) (0.97); Zoology Major (B.S.) (0.97); Biotechnology Major (B.S.) (0.97); Biomedical Sciences Major (B.S.) (0.96)
Biotechnology Major (B.S.),Biochemistry & Molecular Biology Major (B.S.) (0.99); Zoology Major (B.S.) (0.98); General Biology Major (B.S.) (0.98); Biomedical Sciences Major (B.S.) (0.98); Biopsychology Major (B.S.) (0.97)
Business Administration & Data Analysis (B.S.) - Finance - Online,Business Administration & Data Analysis (B.S.) - Finance - Online (1.00); Business Administration & Data Analysis Major (B.S.) (0.64); Master of Science in Finance (M.S.) (0.62); Accounting & Data Analysis Major (B.S.) (0.60); Accounting Major (A.A.) (0.59)
Business Administration & Data Analysis (B.S.) - Finance - Resident,Business Administration & Data Analysis (B.S.) - Finance - Online (1.00); Business Administration & Data Analysis Major (B.S.) (0.64); Master of Science in Finance (M.S.) (0.62); Accounting & Data Analysis Major (B.S.) (0.60); Accounting Major (A.A.) (0.59)
Business Administration & Data Analysis (B.S.) - Financial Planning - Online,Financial Planning Certificate - Online (1.00); Business Administration & Data Analysis (B.S.) - Financial Planning - Resident (1.00); Master of Science in Finance (M.S.) (0.64); Business Administration & Data Analysis Major (B.S.) (0.63); Interdisciplinary Studies Major (B.A. or B.S.) (0.57)
Business Administration & Data Analysis (B.S.) - Financial Planning - Resident,Financial Planning Certificate - Online (1.00); Business Administration & Data Analysis (B.S.) - Financial Planning - Resident (1.00); Master of Science in Finance (M.S.) (0.64); Business Administration & Data Analysis Major (B.S.) (0.63); Interdisciplinary Studies Major (B.A. or B.S.) (0.57)
Business Administration & Data Analysis (B.S.) - Healthcare Management - Online,Business Administration & Data Analysis (B.S.) - Healthcare Management - Resident (0.95); Healthcare Management Certificate - Online (0.92); Healthcare Administration Major (B.S.) (0.85); Healthcare Management - Graduate Certificate (0.81); Master of Science in Health Informatics (M.S.H.I.) (0.80)
Business Administration & Data Analysis (B.S.) - Healthcare Management - Resident,Business Administration & Data Analysis (B.S.) - Healthcare Management - Online (0.95); Healthcare Management Certificate - Online (0.86); Healthcare Management - Graduate Certificate (0.80); Healthcare Administration Major (B.S.) (0.79); Master of Science in Health Informatics (M.S.H.I.) (0.76)
Business Administration & Data Analysis Major (B.S.),Master of Business Administration (M.B.A.) (0.90); Doctor of Business Administration (D.B.A.) (0.88); Christian Leadership & Management Major (B.S.) (0.86); Interdisciplinary Studies Major (B.A. or B.S.) (0.86); Master of Arts in Interdisciplinary Studies (M.A.) (0.85)
Business Administration - Executive Certificate,Doctor of Philosophy in Business Administration (Ph.D.) (0.78); Doctor of Business Administration (D.B.A.) (0.65); Doctor of Philosophy in Organization & Management (Ph.D.) (0.62); Master of Business Administration (M.B.A.) (0.49); Business Administration & Data Analysis Major (B.S.) (0.48)
Business Administration - Graduate Certificate,Management & Leadership - Graduate Certificate (0.70); Master of Arts in Executive Leadership (M.A.) (0.67); Master of Business Administration (M.B.A.) (0.64); Master of Science in Accounting (M.S.) (0.63); Leadership - Advanced Graduate Certificate (0.62)
Business Administration Certificate - Online,Christian Leadership & Management Major (B.S.) (0.78); Business Administration & Data Analysis Major (B.S.) (0.77); Business Major (A.A.) (0.77); Accounting & Data Analysis Major (B.S.) (0.74); Master of Business Administration (M.B.A.) (0.71)
Business Education 6-12 Major (B.Ed.),Elementary Education Major (B.Ed.) (0.89); Theatre Arts Education P-12 Major (B.Ed.) (0.89); Bachelor of Education in Special Education - General Curriculum K-12 (0.89); Computer Science Education 6-12 Major (B.Ed.) (0.88); Visual Arts Education P-12 Major (B.Ed.) (0.88)
Business Major (A.A.),Christian Leadership & Management Major (B.S.) (0.80); Accounting Major (A.A.) (0.77); Business Administration & Data Analysis Major (B.S.) (0.77); Accounting & Data Analysis Major (B.S.) (0.77); Information Systems Major (B.S.) (0.77)
Camp & Outdoor Adventure Leadership Major (B.S.),Youth Ministries Major (B.S.) (0.85); Interdisciplinary Studies Major (B.A. or B.S.) (0.73); Religious Studies Major (B.S.) (0.71); Christian Leadership & Church Ministries Major (B.S.) (0.70); Master of Arts in Applied Ministry (M.A.) (0.67)
Career & Technical Education (CTE) ��� Transition & Special Needs - Add-On Endorsement - Graduate Certificate,"Special & Gifted Education (M.Ed.) - Twice Exceptionalities: With Transition & Special Needs, Gifted Education, & Special Education General Curriculum (add-on endorsement) (0.86); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.79); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.77); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.74); Master of Arts in Teaching in Special Education (M.A.T.) (0.74)"
Chemistry Education 6-12 Major (B.Ed.),Biology Education 6-12 Major (B.Ed.) (0.93); Chemistry Major (B.S.) (0.90); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.90); Elementary Education Major (B.Ed.) (0.90); Middle Education Major (B.Ed.) (0.89)
Chemistry Major (B.S.),Biochemistry & Molecular Biology Major (B.S.) (0.96); General Biology Major (B.S.) (0.95); Forensic Science Major (B.S.) (0.95); Biotechnology Major (B.S.) (0.94); Biopsychology Major (B.S.) (0.93)
Christian Leadership & Church Ministries Major (B.S.),Youth Ministries Major (B.S.) (0.86); Christian Studies Major (B.S.) (0.85); Master of Arts in Religion (M.A.R.) (0.81); Master of Arts in Applied Ministry (M.A.) (0.80); Applied Ministry Major (B.S.) (0.80)
Christian Leadership & Management Major (B.S.),Business Administration & Data Analysis Major (B.S.) (0.86); Master of Arts in Interdisciplinary Studies (M.A.) (0.84); Applied Ministry Major (B.S.) (0.83); Master of Arts in Applied Ministry (M.A.) (0.83); Master of Business Administration (M.B.A.) (0.83)
Christian Studies Major (B.S.),Theology & Apologetics Major (B.A.) (0.87); Religious Studies Major (B.S.) (0.87); Christian Leadership & Church Ministries Major (B.S.) (0.85); Religion Major (B.S.) (0.85); Religious Studies: Bible & Theology Major (B.A.) (0.84)
Civil Engineering Major (B.S.),Industrial Engineering Technology Major (B.S.) (0.89); Engineering Education 6-12 Major (B.Ed.) (0.88); Mechanical Engineering Major (B.S.) (0.86); Computer Engineering Major (B.S.) (0.83); Industrial & Systems Engineering Major (B.S.) (0.82)
Coaching Major (B.S.),Sport Management Major (B.S.) (0.88); Hospitality Management Major (B.S.) (0.86); Strength and Conditioning Major (B.S.) (0.82); Interdisciplinary Studies Major (B.A. or B.S.) (0.81); Physical Education & Health Major (B.S.) (0.79)
Commercial Music (B.M.) - Film Scoring (Film & Media) - Resident,Commercial Music Major (B.M.) (0.96); Commercial Music (B.M.) - Songwriting - Resident (0.89); Commercial Music (B.M.) - Performance - Resident (0.88); Piano Performance Major (B.M.) (0.86); Commercial Music (B.M.) - Publishing & Producing - Resident (0.86)
Commercial Music (B.M.) - Jazz Studies - Resident,"Commercial Music (B.M.) - Performance - Resident (0.96); Commercial Music (B.M.) - Publishing & Producing - Resident (0.95); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.95); Piano Performance Major (B.M.) (0.93); Commercial Music (B.M.) - Songwriting - Resident (0.93)"
Commercial Music (B.M.) - Performance - Resident,"Commercial Music (B.M.) - Publishing & Producing - Resident (0.98); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.98); Worship Leadership Major (B.M.) (0.96); Commercial Music (B.M.) - Songwriting - Resident (0.96); Commercial Music (B.M.) - Jazz Studies - Resident (0.96)"
Commercial Music (B.M.) - Publishing & Producing - Resident,"Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.99); Commercial Music (B.M.) - Performance - Resident (0.98); Music in World Cultures Major (B.M.) (0.96); Music in World Cultures Major (B.S.) (0.96); Commercial Music (B.M.) - Jazz Studies - Resident (0.95)"
"Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident",Commercial Music (B.M.) - Publishing & Producing - Resident (0.99); Commercial Music (B.M.) - Performance - Resident (0.98); Music in World Cultures Major (B.M.) (0.96); Music in World Cultures Major (B.S.) (0.96); Worship Leadership Major (B.M.) (0.95)
Commercial Music (B.M.) - Songwriting - Resident,"Commercial Music (B.M.) - Performance - Resident (0.96); Worship Leadership Major (B.M.) (0.95); Commercial Music (B.M.) - Publishing & Producing - Resident (0.94); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.94); Music in World Cultures Major (B.M.) (0.93)"
Commercial Music Certificate - Online,"Commercial Music Major (B.S.) (0.86); String Performance Major (B.M.) (0.73); Guitar Performance Major (B.M.) (0.72); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.72); Music Major (B.A./B.S.) Instrumental (0.67)"
Commercial Music Major (B.M.),Commercial Music (B.M.) - Film Scoring (Film & Media) - Resident (0.96); Music in World Cultures Major (B.M.) (0.93); Commercial Music (B.M.) - Performance - Resident (0.93); Piano Performance Major (B.M.) (0.93); Music Education Major (B.M.) (0.93)
Commercial Music Major (B.S.),"Commercial Music Certificate - Online (0.86); String Performance Major (B.M.) (0.78); Guitar Performance Major (B.M.) (0.78); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.77); Commercial Music Major (B.M.) (0.75)"
Communication (B.S.) - Communication - Resident,Communication Major (B.S.) (0.82); Speech Education Certificate - Resident (0.79); Interdisciplinary Research Major (B.S.) (0.70); Interdisciplinary Studies Major (B.A. or B.S.) (0.67); Master of Arts in Applied Ministry (M.A.) (0.65)
Communication (B.S.) - Integrated Communication - Resident,Communication Major (B.S.) (0.82); Strategic Communication Major (B.S.) (0.76); Interdisciplinary Research Major (B.S.) (0.70); Digital Design Major (B.S.) (0.70); Master of Arts in Professional Communication (M.A.) (0.68)
Communication - Executive Certificate,Doctor of Philosophy in Strategic Media (Ph.D.) (0.87); Doctor of Philosophy in Communication (Ph.D.) (0.86); Communication Major (B.S.) (0.67); Master of Arts in Professional Communication (M.A.) (0.66); Master of Arts in Communication (M.A.) (0.65)
Communication Major (B.S.),Interdisciplinary Research Major (B.S.) (0.86); Communication (B.S.) - Integrated Communication - Resident (0.82); Strategic Communication Major (B.S.) (0.82); Communication (B.S.) - Communication - Resident (0.82); Interdisciplinary Studies Major (B.A. or B.S.) (0.81)
Communication Strategies for Social Enterprise - Graduate Certificate,Master of Arts in Professional Communication (M.A.) (0.65); Master of Arts in Digital Content (M.A.) (0.65); Master of Arts in Strategic Communication (M.A.) (0.65); Master of Science in Social Media Management (M.S.) (0.64); Master of Arts in Communication (M.A.) (0.59)
Computational Mathematics (B.S.) - Actuarial - Online,Computational Mathematics Major (B.S.) (0.70); Accounting & Data Analysis Major (B.S.) (0.69); Christian Leadership & Management Major (B.S.) (0.69); Business Major (A.A.) (0.68); Accounting Major (A.A.) (0.66)
Computational Mathematics Major (B.S.),Applied Mathematics & Statistics Major (B.S.) (0.87); Mathematics Major (B.S.) (0.83); Mathematics Education 6-12 Major (B.Ed.) (0.82); Computer Science Major (B.S.) (0.81); Computer Science Cybersecurity Major (B.S.) (0.81)
Computer Engineering Major (B.S.),Electrical Engineering Major (B.S.) (0.94); Civil Engineering Major (B.S.) (0.83); Industrial Engineering Technology Major (B.S.) (0.82); Industrial & Systems Engineering Major (B.S.) (0.80); Engineering Education 6-12 Major (B.Ed.) (0.79)
Computer Science Cybersecurity Major (B.S.),Computer Science Major (B.S.) (0.91); Zoo & Wildlife Biology Major (B.S.) (0.88); Forensic Science Major (B.S.) (0.88); Chemistry Major (B.S.) (0.88); Biochemistry & Molecular Biology Major (B.S.) (0.87)
Computer Science Education 6-12 Major (B.Ed.),Business Education 6-12 Major (B.Ed.) (0.88); Mathematics Education 6-12 Major (B.Ed.) (0.88); Computer Science Major (B.S.) (0.87); Elementary Education Major (B.Ed.) (0.86); Bachelor of Education in Special Education - General Curriculum K-12 (0.85)
Computer Science Major (B.S.),Computer Science Cybersecurity Major (B.S.) (0.91); Computer Science Education 6-12 Major (B.Ed.) (0.87); Middle Education Major (B.Ed.) (0.86); Forensic Science Major (B.S.) (0.86); Zoo & Wildlife Biology Major (B.S.) (0.86)
Conservation & Environmental Biology Major (B.S.),Zoology Major (B.S.) (0.98); Biotechnology Major (B.S.) (0.97); Biomedical Sciences Major (B.S.) (0.97); Zoo & Wildlife Biology Major (B.S.) (0.96); Biopsychology Major (B.S.) (0.95)
Creative Writing Major (A.A.),Creative Writing Major (B.S.) (0.93); English & Writing Major (B.S.) (0.92); Writing Major (B.S.) (0.88); English Major (B.A.) (0.83); English Education 6-12 Major (B.Ed.) (0.77)
Creative Writing Major (B.S.),English & Writing Major (B.S.) (0.97); Creative Writing Major (A.A.) (0.93); Writing Major (B.S.) (0.89); English Major (B.A.) (0.86); English Education 6-12 Major (B.Ed.) (0.81)
Criminal Justice - Advanced Graduate Certificate,Criminal Justice - Graduate Certificate (0.86); Master of Science in Criminal Justice (M.S.) (0.76); Criminal Justice Certificate - Online (0.74); Criminal Justice Major (B.S.) (0.69); Criminal Justice Major (A.A.) (0.67)
Criminal Justice - Executive Certificate,Doctor of Criminal Justice (D.C.J.) (0.82); Doctor of Philosophy in Criminal Justice (Ph.D.) (0.80); Criminal Justice Major (B.S.) (0.66); Master of Science in Criminal Justice (M.S.) (0.61); Criminal Justice Certificate - Online (0.59)
Criminal Justice - Graduate Certificate,Criminal Justice - Advanced Graduate Certificate (0.86); Criminal Justice Certificate - Online (0.71); Master of Science in Criminal Justice (M.S.) (0.67); Criminal Justice Major (B.S.) (0.64); Criminal Justice Major (A.A.) (0.64)
Criminal Justice Certificate - Online,Criminal Justice Major (A.A.) (0.84); Criminal Justice Major (B.S.) (0.75); Criminal Justice - Advanced Graduate Certificate (0.74); Criminal Justice - Graduate Certificate (0.71); Master of Science in Criminal Justice (M.S.) (0.68)
Criminal Justice Major (A.A.),Criminal Justice Certificate - Online (0.84); Criminal Justice Major (B.S.) (0.83); Law and Policy Major (B.A./B.S.) (0.79); Government Major (A.A.) (0.74); Paralegal Studies Major (B.S.) (0.74)
Criminal Justice Major (B.S.),Interdisciplinary Research Major (B.S.) (0.87); Master of Arts in Interdisciplinary Studies (M.A.) (0.84); Master of Science in Criminal Justice (M.S.) (0.84); Master of Arts in Interdisciplinary Research (M.A.) (0.83); Criminal Justice Major (A.A.) (0.83)
Curriculum & Instruction - Executive Certificate,Education (Ph.D.) - Curriculum & Instruction (0.97); Education Specialist in Curriculum & Instruction (Ed.S.) (0.82); Doctor of Philosophy in Education (Ph.D.) (0.79); Doctor of Education in Curriculum & Instruction (Ed.D.) (0.78); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.77)
Data Networking Certificate - Online,Information Assurance Certificate - Online (0.91); Information Systems Major (B.S.) (0.60); Information Technology Major (B.S.) (0.60); Master of Science in Information Systems (M.S.I.S.) (0.52); Master of Science in Information Technology (M.S.I.T.) (0.51)
Database Certificate - Online,Web Development Certificate - Online (0.67); Information Systems Major (B.S.) (0.66); Information Technology Major (B.S.) (0.65); Information Systems Major (A.A.) (0.61); Application Development Certificate - Online (0.59)
Digital Design Major (B.S.),Graphic Design Major (B.F.A.) (0.95); Studio Art Major (B.F.A.) (0.91); Studio & Digital Arts Major (B.S.) (0.90); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.86); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.86)
Digital Media & Journalism - Audio - Live Production - Resident,Digital Media & Journalism - Audio - Post Production - Resident (0.75); Digital Media & Journalism - Audio - Music Recording - Resident (0.70); Digital Media & Journalism Major (B.S.) (0.66); Digital Media & Journalism - Church Media Production - Resident (0.60); Digital Media & Journalism - Sports Journalism - Resident (0.57)
Digital Media & Journalism - Audio - Music Recording - Resident,Digital Media & Journalism - Audio - Post Production - Resident (0.74); Digital Media & Journalism - Audio - Live Production - Resident (0.70); Digital Media & Journalism Major (B.S.) (0.63); Digital Media & Journalism - Church Media Production - Resident (0.61); Commercial Music Major (B.S.) (0.54)
Digital Media & Journalism - Audio - Post Production - Resident,Digital Media & Journalism - Audio - Live Production - Resident (0.75); Digital Media & Journalism - Audio - Music Recording - Resident (0.74); Digital Media & Journalism Major (B.S.) (0.62); Digital Media & Journalism - Church Media Production - Resident (0.58); Digital Media & Journalism - Video Production - Resident (0.54)
Digital Media & Journalism - Church Media Production - Resident,Digital Media & Journalism Major (B.S.) (0.75); Digital Media & Journalism - Video Production - Resident (0.72); Digital Media & Journalism - Video Editing - Resident (0.72); Digital Media & Journalism - Audio - Music Recording - Resident (0.61); Digital Media & Journalism - Audio - Live Production - Resident (0.60)
